How is Discrete Probability Space&nbsp;defined?	(Ω, P(Ω), P)		
What does a dataset consist of?	"<div><b>- metadata:</b></div><div>o dataspace</div><div>o datatype</div><div>o properties</div><div>o attributes</div><div><br></div><div><b>- raw data</b></div><div><br></div><img src=""paste-ba60f4e4aca5a69d102276a1b23c4439a3d378c6.jpg"">"		
What are typical <b>data sources</b>?	- existing data (archives, literature, ...)<div>- measurements/observations</div><div>- designed experiments</div><div>- representative queries</div>		
What are typical&nbsp;<b>data types</b>?	"<ul><li><b>nominal data</b> - qualitative, e.g. verbal, description<br>examples: {forest, field}; {male, female, diverse}; ...</li><li><b>ordinal data</b> - qualitative rankings/orderings</li><li><b>cardinal data</b> - quantifiable information<ul><li><b>discrete data</b> - e.g. number of something</li><li><b><font color=""#aa0000"">continuous data</font></b> - e.g. length, time, mass, ... (cannot be measured exactly)</li></ul></li></ul>"		
What are <b>important charateristics of data</b>?	<ul><li>dataset size</li><li>data quality (e.g. noise, ..)</li><li>data source</li><li>...</li></ul>this <b>meta data</b> is often invaluable		
What is important regarding data binning?	"- all data should be contained inside of the bounded bins<div>- bins should be of equal size</div><div>- various rules of thumb for number of bins</div><div><br></div><div>- binning --&gt; <font color=""#aa0000"">information loss</font></div><div>- bin boundaries and bin width can impact visualization --&gt; <font color=""#aa0000"">avoid bias!</font></div><div>- when processing the binned data, <b>correction factors </b>apply</div>"		
What is the<b> relative frequency</b>?	\(n\)&nbsp;samples with \(n_B\)&nbsp;discrete values \(v_i\) of classes \(C_i\), respectively, and the counts \(N_i (i=1,…,n_B)\)&nbsp;of samples in the respective categories such that \(\sum_{i=1}^{n_B}N_i=n\)&nbsp;holds.<br><br>The relative frequency of value&nbsp;\(v_k\) or class \(C_i&nbsp;\) is the relative count \((1\leq k\leq n_B)\)<br>\(P_k=\frac{N_k}{n}\in[0;1]\)<br><br>It represents the relative probability of finding a discrete value \(v_k\)&nbsp;&nbsp;or elements in class \(C_k\), respectively, when uniformly selecting one of the observed samples.		
What is the <b>cumulative frequency</b>?	\(n\)&nbsp;samples with \(n_B\)&nbsp;discrete values \(v_i\) of classes \(C_i\), respectively, and the counts \(N_i (i=1,…,n_B)\)&nbsp;of samples in the respective categories such that \(\sum_{i=1}^{n_B}N_i=n\)&nbsp;holds.<br><div><br></div><div>The cumulative frequency \(F_k\)&nbsp;is defined as \((1 \leq k \leq n_B)\):<br>\(F_k=\sum_{i=1}^{k}P_i \in [0;1]\)<br></div><div><br></div><div>It represents the probability of finding a value \(y \leq v_k\)&nbsp;or \(y \leq u_k\), respectively, under the assumption of uniformly selecting data \(y\) from all available samples.<br></div>		
What are <b>location parameters</b>?	Location parameters characterize the positioning of the observed data (relative to the axes).&nbsp;<div>They are sensitive to constant offsets or shifts of the data.</div>		
How are&nbsp;<b>arithmetic mean</b>&nbsp;and<b>&nbsp;weighted mean&nbsp;</b>defined?	"The <b style="""">arithmetic mean</b> is defined as<br>\(\bar{y}=\frac{1}{n}\sum_{i=1}^{n}y_i\)<br><br>For <b style="""">binned/classified data</b> it is approximated by<br>\(\bar{y} \approx \sum_{k=1}^{n_B} P_k \frac{u_k+l_k}{2}=\sum_{k=1}^{n_B}&nbsp;P_k c_k\)<div><br><br>If the samples have weights \(w_i \geq 0\) then the <b style="""">weighted mean </b>is defined as<br>\(\bar{y}=\frac{1}{v}\sum_{i=1}^{n} w_i y_i\), \(v=\sum_{i=1}^{n} w_i\)</div>"		
What is the <b>mode&nbsp;\(y_m\)</b>?	"The mode is the most frequently observed value within the available  samples. For binned data, it can be approximated asserting a uniform  distribution of the data over the class \(C_\hat{k}\)&nbsp;for which the peak relative frequency is found.<div><br></div><div><img src=""paste-62934d81c6076537e8cc49658d38d7a752992b52.jpg""><br></div>"		
What is <b>statistical dispersion</b>?	<b>Statistical dispersion</b> describes the spread or the scatter of data. In contrast to location parameters they are insensitive to shift of the data \(y_i \leftarrow y_i+c\).		
What is the <b>range</b>?	The <b>range&nbsp;</b>\(R\)&nbsp;describes the distance between the largest and smallest observed sample<br><br>\(R = \max_{i,j=1,…,n}(y_i−y_j) = \max_{i=1,…,n}(y_i)− \min_{j=1,…,n}(y_j)\)		
How are <b>percentiles</b>, <b>quartiles </b>and the <b>median </b>defined?	The <b>α-percentil</b>e is defined as<br>\(p_\alpha=F^{−1}(\alpha)\)<br><br>This implies that the fraction α of the observed data is less than or equal to the α-percentile \(p_\alpha\).<div><br><div>Special percentiles:</div><div>-&nbsp;\(\alpha = \frac{i}{4}\) --&gt; <b>i-th quartile</b></div><div><b>-&nbsp;</b>\(\alpha = \frac{1}{2}\)&nbsp; --&gt; <b>median</b></div><div><b><br></b></div>The  <b>median </b>splits tha data in two parts of equal size while the <b>four  quartiles</b> split all data into four sets of equal cardinality.</div>		
How are <b>mean </b>and <b>median absolute deviation </b>defined?	"<img src=""paste-e810cb3186d9e802fa40b1eae940a3aed2bd4865.jpg"">"		
How are standard deviation and variance defined?	"The sample standard deviation \(s_n \geq 0\)&nbsp;and its square (the variance \(\sigma^2\)) are defined through<br><div>\(s_n = \sqrt{ \frac{1}{n−1}\sum_{i=1}^n(y_i−\bar{y})^2 } \)</div><div><br><div></div><div>The standard deviation \(s_n\) expresses the scatter of the data with respect to the <a href=""https://ilias3.uni-stuttgart.de/ilias.php?ref_id=2173641&amp;obj_id=459444&amp;obj_type=PageObject&amp;cmd=layout&amp;cmdClass=illmpresentationgui&amp;cmdNode=fz&amp;baseClass=ilLMPresentationGUI"">arithmetic mean</a>. It is insensitive to shifts of the data and it is linear to scaling of the data by a constant factor \(c \in \mathbb{R}\).</div></div>"		
Which central moments vanish for symmetric data?	alls odd central moments vanish for symmetric data		
What is the <b>skewness</b>&nbsp;of a distribution?	The third central moment (normalized) defines the <b>skewness</b><br><div>\(\text{skew}(\underline{y})=\frac{M_c^3(\underline{y})}{s^3}\)</div><div><br></div><div><div></div><div>- the skewness is a dimensionless number</div><div>- it is invariant under shifting and scaling, i.e. it describes the shape of the distribution</div><div>- for \(\text{skew} &lt;0\) the distribution is left-skewed and for \(\text{skew}&gt;0\) it is right-skewed</div><div>- left-skewed data has the mean left of the median which is found left of the mode</div><div>- right-skewed data has the mean right of the median which is found right of the mode</div></div>		
What is the&nbsp;<b>kurtosis</b>&nbsp;of a distribution?	The fourth normalized moment defines the <b>(excess) kurtosis</b> via<br><div>\(\text{kurt}(\underline{y})=\frac{M_c^4(\underline{y})}{s^4}−3\)</div><div><br><div></div><div>- the substracted value of 3 is the fourth central moment of the normal distribution, i.e. the kurtosis compares the shape of the distribution w.r.t. the normal distribution</div><div>- positive kurtosis --&gt; data is more spread than for the normal distribution</div><div>- negative kurtosis --&gt; data is more concentrated around the mean value than for normally distributed samples</div></div>		
What are <b>shape parameters</b>?	<b>Shape parameters </b>describe the shape of a distribution, similar to, e.g.,  curvature for functions. These parameters are independent of shifts.<div>In  general, dimensionless shape parameters should also be  de-dimensionalized, making them insensitive to rescaling of the data.</div>		
How is the <b>k-th central moment</b> defined? How ist it normalized?	The<b> k-th central moment</b> is defined for \(k\in{2,3,…}\)&nbsp;as<br>\(M_c^k(\underline{y})=\frac{1}{n}\sum_{i=1}^n(y_i−\bar{y})^k\)<div><br>Dividing \(M_c^k\) by \(s_k\), the <b>k-th normalized moment</b> is obtained. It is <b>dimensionless</b>.</div>		
"Explain the ""dilemma of continuous probability spaces!"	Let \(\Omega=[0,1]\)&nbsp;and assert that all numbers on the unit interval should be <i>equally probable.</i>  Since there exist infinitely many (i.e. not even countable!) real  numbers, each individual number must have the probability of \(0\).<br><br>Having a zero probability for each singleton \(P({x})=0\)&nbsp; &nbsp; &nbsp;\(∀x∈[0,1]\)&nbsp;induces that the sum of the probability over all events will be zero, as well.		
What is a <b>point estimator</b>?	- a <b>point estimator </b>estimates <b>parameter values </b>of a statistical model<div>- usally no quantitative information on the scatter/robustness of the estimate<br><div><br></div><div>examples:</div><div>-&nbsp;Maximum Likelihood Estimation (MLE)</div><div>- Minimum Mean Squared Error (MMSE)</div><div>- Best Linear Unbiased Estimators (BLUE)</div></div>		
What is an estimator?	Estimators relate available data to the parameters of statistical models. For instance, an established model for the coin flip is the binomial distribution with parameter \(\theta\). Estimators either provide directly parameters or they provide a range that contains the parameters with a given confid		
What is an <b>interval estimator</b>?	"<div>- an <b>interval</b> <b>estimator </b>estimates<b> intervals containing the parameters</b> to a given probability</div><div>-&nbsp;<span style=""font-style: italic;"">P</span>-guaranteed range for the parameters, but no discrete value to use</div><div><br></div><div>examples:</div><div>- confidence interval estimation</div><div>- likelihood intervals</div>"		
How is the continuous version of the Moving Average Filter defined?	"<img src=""paste-f24deb2e15740d64a44eef7532dc2a88a733b763.jpg"">"		
How is the discrete version of the Moving Average Filter defined?	"<img src=""paste-a66cbf111524ef882b6fe1287818f61213a615cb.jpg"">"		
What are the working hypotheses of signal denoising and filtering?	"<img src=""paste-9097f2e644bfd53658fe15e9afef89957a953617.jpg"">"		
What can be observed when analysing the error of a discrete moving average filter?	"<img src=""paste-b0811753df6aaf83456fdc9d6bb38c7cc3ceb81d.jpg"">"		
What can be observed when analysing the error of a discrete moving average filter considering a locally linear signal?	"<img src=""paste-3dfd528a10d820f0bca28c5fa68f475579e55d1e.jpg"">"		
What can be observed when analysing the error of a discrete moving average filter considering a smooth signal? Which race condition can be derived?	"<img src=""paste-42317945d663d1e447cb2eb4967560c50366591d.jpg"">"		
Describe the working assumptions and ansatz of the Savitzky-Golay-Filter?	"<img src=""paste-db68b0d04a8da986e35e9d6871bd30cf795b842a.jpg"">"		
Describe the properties of the Savitzky-Golay Filter!	"<img src=""paste-f5b1c269c4f50826ce8399e7c1000438093bf5e6.jpg""><div><br></div><div>- implementation via Fourier Transform mostly recommended</div>"		
